Date,PB,PE,FCF/Share,PEG,Dividend Yield,GDP,Interest Rate,CPI ,PSR
1/1/2010,0.77,12.35,22.5,-0.384614286,0.47,15.46,0.13,0.2591,5.7
4/1/2010,0.61,7.71,16.06,0.9733875,0.44,15.61,0.19,0.0512,6.5
7/1/2010,0.61,7.6,2.44,-0.773818182,0.55,15.73,0.19,0.0724,6.5
10/1/2010,0.67,7.66,-0.94,-0.6128,0.51,15.81,0.19,0.1128,6.3
1/1/2011,0.73,7.34,-6.79,9.3218,0.45,15.77,0.16,0.6482,6.9
4/1/2011,0.63,6.3,2.38,0.25704,0.86,15.88,0.09,0.3358,6.6
7/1/2011,0.45,4.65,17.46,0.384681818,1.44,15.87,0.08,0.1721,6.8
10/1/2011,0.5,5.43,24.47,-0.230775,2.62,16.05,0.07,-0.1791,6.9
1/1/2012,0.68,7.52,27.07,-4.5496,2.83,16.18,0.1,0.5466,7.9
4/1/2012,0.52,5.96,21.83,-0.439157895,2.29,16.25,0.15,0.0127,8.6
7/1/2012,0.58,6.27,15.05,0,3.03,16.28,0.14,0.2799,7.8
10/1/2012,0.62,6.26,13.21,-0.523863158,2.78,16.3,0.16,-0.2607,9.9
1/1/2013,0.66,6.35,7.4,-10.16,2.66,16.44,0.14,0.4587,5.8
4/1/2013,0.72,6.87,29.76,-0.006598305,2.54,16.46,0.12,0.1047,6.4
7/1/2013,0.72,9,33.22,-0.079731544,2.4,16.59,0.08,0.092,6.4
10/1/2013,0.8,10.47,28.3,3.3504,2.59,16.71,0.09,-0.1568,5.9
1/1/2014,0.81,9.09,11.59,-0.7373,2.45,16.65,0.07,0.4619,6.7
4/1/2014,0.75,10.77,-2.49,1.321772727,2.49,16.87,0.09,0.2884,7
7/1/2014,0.77,12.03,-21.13,0.9624,2.65,17.06,0.09,-0.0436,7.1
10/1/2014,0.8,9.36,-20.86,-0.54288,2.63,17.14,0.1,-0.4527,7.4
1/1/2015,0.76,8.86,-14.7,-1.516044444,2.5,17.28,0.11,0.1863,7.9
4/1/2015,0.84,9.84,15.53,-1.1808,2.64,17.38,0.12,0.3544,7.5
7/1/2015,0.74,8.42,22.94,0.31996,2.39,17.44,0.14,-0.0969,7.3
10/1/2015,0.8,8.99,19.47,-6.06825,2.74,17.46,0.16,-0.1992,7.4
1/1/2016,0.71,8.25,9.79,-0.639375,2.68,17.57,0.36,0.2261,7.5
4/1/2016,0.74,8.71,4.69,-4.587266667,2.94,17.62,0.37,0.4024,6.9
7/1/2016,0.78,9.57,-1.01,-1.258823077,2.91,17.72,0.4,0.0568,6.8
10/1/2016,1.01,11.7,5.93,3.2175,2.73,17.81,0.45,0.0006,6.8
1/1/2017,1.03,11.43,5.44,-1.223682353,2.14,17.89,0.7,0.3262,7.1
4/1/2017,1.06,11.48,6.97,3.367466667,2.2,17.98,0.95,0.1576,7.5
7/1/2017,1.09,11.75,4.46,0.186617647,2.1,18.13,1.15,0.2533,7.5
10/1/2017,1.23,14.57,-3.03,-0.267681395,2.08,18.31,1.2,-0.0399,6.9
1/1/2018,1.26,13.52,-6.9,3.8701,1.93,18.44,1.45,0.4081,7.2
4/1/2018,1.18,12.07,2.28,-5.64876,1.93,18.57,1.74,0.3243,7.3
7/1/2018,1.26,12.19,7.6,0.717058824,2.14,18.7,1.92,0.0595,7.6
10/1/2018,1.09,9.54,4.57,-0.388938462,2.13,18.73,2.22,-0.1592,8.2
1/1/2019,1.12,9.68,-9.78,-1.605741176,2.77,18.84,2.4,0.3925,9.3
4/1/2019,1.21,10.19,-24.66,1.950657143,2.77,18.96,2.4,0.2541,8.7
7/1/2019,1.25,10.44,-24.03,2.439163636,2.81,19.13,2.19,0.0801,8.7
10/1/2019,1.49,11.77,1.27,0.051288268,2.91,19.22,1.64,0.028,8.7
1/1/2020,0.96,9.27,-13.01,-0.21321,2.43,18.99,1.26,0.1481,10.7
4/1/2020,1,11.69,18.26,-0.221654545,4.11,17.38,0.06,-0.0398,26.3
7/1/2020,1.01,11.7,8.99,-0.505227273,3.83,18.74,0.09,0.3201,16.4
10/1/2020,1.3,13.45,-25.88,-0.864642857,3.58,18.92,0.09,0.0249,13.7
1/1/2021,1.55,11.43,-1.4,0.600075,2.32,19.22,0.08,0.5604,19.9
4/1/2021,1.54,9.87,-23.79,9.22845,2.29,19.54,0.07,0.8509,10.8
7/1/2021,1.59,9.9,-11.39,0.82665,2.18,19.67,0.09,0.3197,9.1
10/1/2021,1.52,9.92,25.8,0.367459155,2.3,20.01,0.08,0.5431,7.3
1/1/2022,1.36,9.79,25.99,-2.078492308,2.9,19.92,0.12,1.03,4.3
4/1/2022,1.13,8.81,43.9,-0.763533333,3.51,19.9,0.77,1.0114,3.2
7/1/2022,1.05,8.68,30.12,-0.675530435,3.58,20.05,2.19,0.0559,3.2
10/1/2022,1.34,11.02,36.07,-1.136169601,3.6,20.19,3.65,-0.0008,4
